收益率除天数,收益率除天数,收益率除天数
median,count,std
0.395,7,0.9149092200906943
0.470625,29,2.082710982444853
0.578695652173913,1,
0.4261904761904762,119,8.985838679333618
0.21807692307692308,23,0.8264921548721815
0.20711538461538462,1,
0.565,21,0.9916477023863426
0.6772727272727272,29,1.7525376538069606
0.09643678160919542,3,0.0
0.09213483146067415,1,
0.16512288930581615,4,2.17553614010722
2.0569230769230766,1,
0.2525454545454546,5,0.5251797850046759
0.4544904761904762,22,4.599339255651429
0.9573863636363636,2,1.2057777680096968
0.15704545454545454,43,0.1649624195311281
0.297843992248062,36,1.7469940086683762
0.08888888888888889,1,
0.17562626262626263,2,0.12266517030401783
0.5282142857142857,2,0.26718534803405974
0.3797628205128205,2,0.20213281923226217
0.16891891891891891,15,0.3466277038339225
0.15548780487804878,35,0.7961270075523011
0.21161740558292286,2,0.0879529370687701
1.6475,1,
0.39666666666666667,35,1.9812273802092084
0.44696969696969696,15,7.395885989897049
0.10049382716049383,1,
0.7342857142857143,23,4.419086842955069
0.3596774193548387,1,
1.1921428571428572,3,2.9377021647682304
0.5628571428571428,1,
0.3232558139534884,1,
0.13075,1,
0.15957142857142856,3,0.03797671630856683
0.7090000000000001,2,0.22014591120941185
0.14232876712328768,1,
0.43,9,0.2778961596423021
0.20920000000000002,19,0.47425153111062546
0.31,63,0.7201286148004465
0.48653846153846153,1,
1.0110526315789474,1,
0.4288791208791209,10,0.8520317736663876
0.1484090909090909,1,
0.3596774193548387,56,4.368721194111091
0.37388888888888894,1,
1.825,3,0.9949888399868714
0.18627118644067797,19,1.5175275608563277
0.18881355932203392,1,
0.10666666666666666,1,
0.27816326530612245,15,1.335353877718999
0.2719285714285714,96,0.5454998061898355
0.16785714285714284,1,
0.34227976190476195,34,0.6111876237752957
0.1303703703703704,1,
0.2798,1,
0.15583333333333332,7,0.2345524798820618
7.726000000000001,1,
0.23087719298245615,1,
0.09886363636363636,1,
0.18306190476190476,6,0.4830393408031445
0.7532142857142857,2,0.5985153826471848
2.19,1,
1.1464285714285716,1,
0.348125,1,
11.554,1,
0.5541948717948718,10,1.055138041667045
0.3057446808510638,230,0.23486625934748032
0.4196551724137931,3,0.1829989409604299
0.26346153846153847,15,0.5135099140953625
0.24636363636363637,104,0.7351729738140523
0.37387096774193546,13,0.18857736463639577
0.29288684719535785,66,14.764177226242616
0.14194805194805193,3,0.0295833047282965
0.18246478873239436,14,6.422191761476355
0.38225806451612904,1,
0.29894736842105263,270,8.744790814130305
0.38142857142857145,29,3.4162238476627156
0.3642857142857143,198,4.860023831873093
0.5406954887218045,2,0.2596357869116169
