城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
SWVM201,M18571,哈弗H6,49000.0,1212.76,247.5,82,11.02
NWVA105,M20090,大众甲壳虫,117000.0,887.77,75.88,7,39.56
NWVA104,M19172,宝马525Li,164000.0,2801.18,170.8,50,12.47
NCVH202,M19542,雷克萨斯LS460,152000.0,1598.83,105.19,33,11.63
NCVH202,M18922,奥迪A8L,104000.0,1736.57,166.98,61,9.99
NWVQ101,M19401,丰田兰德酷路泽,294000.0,4107.58,139.71,38,13.42
SWVU118,M19342,日产轩逸,80000.0,1119.3,139.91,41,12.46
SWVU112,M19451,路虎神行者2,190000.0,2288.04,120.42,36,12.21
ECVM208,M19392,奔驰唯雅诺,165000.0,1992.23,120.74,39,11.3
ECVK114,M19824,斯巴鲁傲虎,164000.0,1054.88,64.32,19,12.36
ECVJ103,M19250,Jeep自由光,112000.0,1525.43,136.2,45,11.05
SCVA119,M19491,丰田凯美瑞,88000.0,1197.83,136.12,34,14.61
NCVB102,M18515,奔驰S600L,576000.0,14504.02,251.81,84,10.94
CCVF110,M18858,保时捷Cayenne,246000.0,4236.09,172.2,64,9.82
SWVB113,M19648,林肯MKX,234000.0,2167.51,92.63,27,12.52
NCVH111,M18454,路虎神行者2,124000.0,2419.01,195.08,89,8
ECVJ102,M18700,别克GL8,104000.0,2015.66,193.81,71,9.96
ECVD108,M18984,奔驰E260,182000.0,3139.49,172.5,58,10.86
SWVK111,M18458,本田杰德,40000.0,781.06,195.26,89,8.01
NWVA105,M19604,福特新蒙迪欧,88000.0,1257.18,142.86,29,17.98
SWVU106,M19251,奔驰S600L,220000.0,2987.14,135.78,44,11.26
SWVF110,M19973,大众途锐,336000.0,1592.6,47.4,13,13.31
ECVJ102,M19544,路虎揽胜,598000.0,5662.9,94.7,31,11.15
NCVA108,M19907,奔驰R350L,168000.0,863.27,51.39,15,12.5
ECVM210,M19448,大众迈腾,160000.0,1812.59,113.29,36,11.49
CCVG104,M19259,宝马X4,180000.0,2398.14,133.23,44,11.05
ECVM113,M18445,本田雅阁,120000.0,2341.05,195.09,89,8
SWVU108,M20047,野马,228000.0,1005.23,44.09,9,17.88
ECVJ102,M19672,奥迪A4L,112000.0,974.39,87.0,26,12.21
NCVG105,M19978,本田奥德赛,168000.0,826.53,49.2,13,13.81
CCVG116,M19894,道奇酷威,112000.0,761.89,68.03,16,15.52
SWVK109,M18522,宝马520i,175000.0,4045.95,231.2,84,10.05
NWVB105,M19850,奥迪A6L,181000.0,1164.21,64.32,19,12.36
NWVB105,M19681,日产天籁,108000.0,939.9,87.03,26,12.22
SWVG109,M19899,本田杰德,64000.0,555.0,86.72,16,19.78
NCVG103,M19002,奔驰CLA200,200000.0,3703.27,185.16,57,11.86
CCVF215,M19267,现代朗动,49000.0,652.83,133.23,44,11.05
CCVF210,M18467,日产途乐,400000.0,10000.0,250.0,89,10.25
CCVF205,M18483,路虎揽胜,605000.0,16000.21,264.47,87,11.1
SWVK203,M19608,凯迪拉克CT6,172000.0,1817.37,105.66,29,13.3
SWVA102,M18990,宝马X3,232000.0,3551.61,153.09,56,9.98
SWVM116,M19997,马自达CX-4,80000.0,540.0,67.5,11,22.4
ECVJ101,M18687,奔驰E260L,212000.0,4108.8,193.81,71,9.96
SWVU116,M19471,本田雅阁,104000.0,1207.51,116.11,34,12.46
SWVB106,M20046,丰田普拉多,234000.0,1657.17,70.82,8,32.31
ECVN103,M18758,MINI,72000.0,1240.54,172.3,67,9.39
NWVA105,M19823,奔驰唯雅诺,203000.0,2055.74,101.27,18,20.53
SWVM101,M19426,奥迪A4L,110000.0,1246.69,113.34,36,11.49
SCVB112,M19341,现代ix35,64000.0,781.3,122.08,40,11.14
NWVQ106,M18624,丰田凯美瑞,80000.0,1909.6,238.7,80,10.89
ECVM201,M19538,大众迈腾,88000.0,908.7,103.26,32,11.78
ECVJ102,M18521,GMC SAVANA,304000.0,6873.48,226.1,83,9.94
NCVG107,M19968,奔驰GL550,304000.0,1347.32,44.32,12,13.48
SCVA105,M19567,陆风X7,68000.0,876.12,128.84,29,16.22
ECVJ203,M18481,宝马218i,120000.0,2842.41,236.87,87,9.94
NCVA106,M19915,福特撼路者,154000.0,924.0,60.0,14,15.64
SCVA101,M18742,大众帕萨特,88000.0,1512.83,171.91,68,9.23
NWVB110,M18644,现代名图,64000.0,1513.1,236.42,79,10.92
CCVF211,M20030,奥迪A6L,160000.0,640.0,40.0,9,16.22
SWVK112,M18524,宝马318i,100000.0,2303.01,230.3,83,10.13
SWVK112,M19631,宝骏730,64000.0,617.67,96.51,27,13.05
SWVU120,M19510,大众途观,88000.0,1000.86,113.73,33,12.58
ECVC107,M19493,宝马523Li,128000.0,1551.03,121.17,33,13.4
CCVA131,M18503,奔驰E260L,109000.0,2535.78,232.64,84,10.11
CCVA123,M18822,丰田普拉多,280000.0,4941.78,176.49,64,10.07
ECVM203,M18924,日产途乐,360000.0,6896.2,191.56,59,11.85
CCVF207,M18552,丰田兰德酷路泽,441000.0,10576.86,239.84,81,10.81
NWVB105,M19673,路虎发现神行,204000.0,1642.48,80.51,24,12.24
SWVM207,M19746,现代索纳塔八,72000.0,715.97,99.44,20,18.15
ECVM201,M18808,奔驰G500,592000.0,9674.94,163.43,63,9.47
