城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
ECVD107,M13852,奔驰C180,88000.0,509.1,57.85,17,12.42
ECVS102,M13914,丰田RAV4,84000.0,458.76,54.61,16,12.46
SWVU111,M14063,丰田皇冠,50000.0,272.19,54.44,12,16.56
SWVM120,M11833,大众甲壳虫,78000.0,1920.0,246.15,89,10.1
SWVM113,M11874,世嘉,40000.0,1000.22,250.06,88,10.37
SWVK110,M13557,大众CC,160000.0,1600.0,100.0,25,14.6
SCVI101,M13875,丰田卡罗拉,60000.0,510.0,85.0,16,19.39
SWVM123,M13961,瑞风M3,43000.0,318.0,73.95,14,19.28
SWVB112,M12052,奔驰CLS300,180000.0,4127.85,229.33,82,10.21
SCVI109,M13649,本田缤智,97000.0,900.0,92.78,21,16.13
SCVI109,M13740,丰田凯美瑞,84000.0,756.0,90.0,18,18.25
SWVB112,M12589,宝马525Li,256000.0,4535.65,177.17,64,10.1
SWVM121,M12998,哈弗H6,56000.0,900.0,160.71,41,14.31
CCVA107,M13431,本田奥德赛,164000.0,1600.0,97.56,27,13.19
NCVG106,M13577,捷豹XJ,280000.0,2300.0,82.14,22,13.63
SWVM202,M13664,日产轩逸,78000.0,700.0,89.74,20,16.38
SCVA110,M13738,本田思域,67000.0,1243.53,185.6,17,39.85
SCVA106,M11744,凯迪拉克CTS,29000.0,572.0,197.24,90,8.0
SWVM120,M11760,标致408,45000.0,878.0,195.11,89,8.0
SWVB102,M11774,宝马525Li（每人限投2000）,212000.0,4135.0,195.05,89,8.0
SWVM113,M11819,大众帕萨特,116000.0,2789.64,240.49,87,10.09
SCVB102,M11900,宝马523Li,192000.0,4256.35,221.68,85,9.52
SWVU113,M12102,福特锐界（每人限投3000）,248000.0,5850.5,235.91,79,10.9
CCVA121,M12274,本田奥德赛,183000.0,3743.83,204.58,75,9.96
SWVM123,M12337,日产骐达,44000.0,906.64,206.05,72,10.45
SWVK110,M12547,福特翼虎,120000.0,2141.84,178.49,64,10.18
CCVA121,M12628,奔驰唯雅诺,222000.0,3576.69,161.11,62,9.48
CCVA128,M12970,宝马523Li,168000.0,2733.64,162.72,51,11.65
SWVU108,M13082,大众高尔夫,192000.0,2161.9,112.6,37,11.11
SWVA102,M13287,雷克萨斯ES250,168000.0,1735.73,103.32,30,12.57
NCVG101,M13571,MINI,112000.0,793.02,70.81,21,12.31
SCVA103,M13628,丰田锐志,146000.0,1775.5,121.61,20,22.19
NWVB110,M13796,别克昂科威,128000.0,1100.0,85.94,15,20.91
CCVA111,M14226,奥迪A4L,104000.0,220.25,21.18,1,77.3
SWVM201,M11823,别克君越,72000.0,1868.21,259.47,86,11.01
CCVL102,M11858,宝马X5（每人限投3000）,308000.0,5915.33,192.06,85,8.25
SWVM117,M11916,大众CC,55000.0,1300.37,236.43,84,10.27
CCVA102,M11952,特斯拉Model S,340000.0,7471.47,219.75,82,9.78
CCVA102,M11988,奥迪Q7,172000.0,3686.82,214.35,81,9.66
NCVG102,M12016,丰田皇冠,208000.0,4591.04,220.72,81,9.95
SCVB119,M12291,特斯拉Model S（每人限投3000）,336000.0,6208.23,184.77,74,9.11
SCVA111,M12785,凯迪拉克赛威,54000.0,860.82,159.41,55,10.58
SWVB107,M12822,奥迪Q5,168000.0,2792.33,166.21,54,11.23
CCVA121,M13290,大众夏朗,154000.0,1489.37,96.71,29,12.17
NCVA112,M13479,奔驰S350L,300000.0,2500.0,83.33,24,12.67
SCVA101,M13674,丰田凯美瑞,71000.0,625.07,88.04,18,17.85
CCVA123,M13758,丰田普拉多,256000.0,1600.0,62.5,14,16.29
CCVL102,M13776,奥迪A7,300000.0,1863.0,62.1,14,16.19
SWVB106,M13799,宝马X5,316000.0,2784.24,88.11,13,24.74
SWVM103,M13813,凯迪拉克XTS,200000.0,1280.0,64.0,13,17.97
SWVU107,M13948,凯迪拉克ATS-L,181000.0,1000.0,55.25,10,20.17
SCVB114,M14097,丰田致炫,46000.0,376.51,81.85,5,59.75
CCVA103,M11703,大众凌渡,108000.0,2083.0,192.87,88,8.0
NCVA102,M11711,保时捷帕拉梅拉,600000.0,11572.0,192.87,88,8.0
NCVG107,M11718,悍马H2（每人限投3000）,300000.0,5786.0,192.87,88,8.0
SWVK110,M11882,宝马520Li,208000.0,4758.97,228.8,83,10.06
NCVB102,M11926,宝马X6M（每人限投5000）,664000.0,14834.67,223.41,82,9.94
SCVA103,M12007,丰田锐志,116000.0,2577.9,222.23,80,10.14
SCVA106,M12413,丰田兰德酷路泽,100000.0,1648.77,164.88,68,8.85
CCVA102,M12415,丰田凯美瑞,98000.0,1900.0,193.88,68,10.41
CCVA102,M12417,丰田凯美瑞,98000.0,1767.97,180.41,68,9.68
NCVB106,M12434,日产GT-R（每人限投3000）,370000.0,6773.13,183.06,67,9.97
NCVG104,M12439,吉姆尼,105000.0,2114.84,201.41,67,10.97
SWVM111,M12636,大众途锐,260000.0,4676.16,179.85,59,11.13
NCVB106,M12774,奔驰GL500,600000.0,9772.6,162.88,54,11.01
CCVA106,M12804,宝马X6,300000.0,4886.3,162.88,54,11.01
CCVA102,M12873,丰田凯美瑞,98000.0,1497.77,152.83,52,10.73
SCVI107,M12882,帕杰罗,64000.0,1258.3,196.61,52,13.8
CCVA123,M12942,丰田普拉多,152000.0,2195.91,144.47,50,10.55
CCVA106,M13163,别克林荫大道,57000.0,561.98,98.59,32,11.25
NCVB110,M13233,路虎揽胜运动,620000.0,6023.34,97.15,30,11.82
NCVA109,M13484,奥迪A6L,227000.0,1680.8,74.04,22,12.28
CCVA102,M13650,别克GL8,104000.0,728.0,70.0,17,15.03
NWVB103,M13667,丰田普拉多（每人限投2000）,388000.0,3135.56,80.81,17,17.35
SCVA113,M13675,奥迪A6L,196000.0,1330.44,67.88,17,14.57
ECVS101,M13729,丰田汉兰达,130000.0,624.0,48.0,14,12.51
CCVA123,M13801,丰田普拉多,152000.0,957.86,63.02,12,19.17
CCVG111,M13920,奥迪Q5,360000.0,1800.0,50.0,10,18.25
NCVG107,M14148,丰田凯美瑞,74000.0,207.2,28.0,3,34.07
SWVM120,M11719,现代ix35,76000.0,1661.03,218.56,87,9.17
SWVM120,M11720,标致3008,70000.0,1700.06,242.87,87,10.19
NWVB105,M13139,奔驰E300L,356000.0,3600.0,101.12,32,11.53
SWVU108,M13497,宝马X3,108000.0,1000.0,92.59,21,16.09
NCVA101,M13680,捷豹XJL,450000.0,2800.0,62.22,15,15.14
SCVA110,M13891,大众速腾,67000.0,691.78,103.25,10,37.69
SCVI105,M12562,丰田锐志,152000.0,3317.45,218.25,60,13.28
SCVJ101,M12601,丰田花冠,45000.0,990.0,220.0,59,13.61
CCVA113,M12750,奔驰S300L,320000.0,5150.79,160.96,53,11.09
SCVB112,M13546,丰田汉兰达,128000.0,1358.12,106.1,18,21.52
SCVA106,M11619,别克GL8,72000.0,1404.0,195.0,89,8.0
NCVJ101,M12503,本田CR-V,60000.0,1017.63,169.61,62,9.98
NWVB104,M12663,奥迪Q5,134000.0,2486.62,185.57,55,12.32
SWVM117,M13026,奔驰C200K,79000.0,860.35,108.91,34,11.69
CCVG111,M13217,奥迪A4L,208000.0,2305.81,110.86,28,14.45
CCVA102,M13261,奥迪Q3,176000.0,1689.98,96.02,26,13.48
SWVU101,M13293,玛莎拉蒂Ghibli,520000.0,4411.46,84.84,25,12.39
SCVA113,M13334,宝马535Li,188000.0,2013.08,107.08,24,16.28
NCVG101,M13366,本田飞度,61000.0,471.42,77.28,23,12.26
SWVU107,M13393,纳智捷大7MPV,112000.0,882.26,78.77,22,13.07
NCVA104,M13486,奥迪A6L,72000.0,463.17,64.33,19,12.36
SWVU113,M13513,丰田凯美瑞,167000.0,1136.52,68.06,18,13.8
CCVG105,M13554,奔驰GL350,111000.0,758.49,68.33,17,14.67
SWVU107,M13582,玛莎拉蒂Ghibli,400000.0,2600.0,65.0,16,14.83
NCVB112,M13665,保时捷Cayenne,210000.0,1260.0,60.0,14,15.64
SCVA117,M13695,丰田汉兰达,143000.0,970.07,67.84,12,20.63
NCVG104,M13735,奥迪A6L,288000.0,1382.4,48.0,11,15.93
SCVA106,M11544,丰田皇冠,172000.0,3392.0,197.21,90,8.0
ECVD106,M11852,福特福克斯,35000.0,763.12,218.03,80,9.95
NCVJ101,M12469,本田思域,84000.0,1424.69,169.61,62,9.98
NCVJ101,M12716,丰田普拉多,160000.0,2511.17,156.95,52,11.02
CCVA120,M12874,福特锐界,208000.0,2960.62,142.34,48,10.82
NCVG107,M13104,GMC SAVANA,202000.0,2019.0,99.95,30,12.16
NWVB105,M13117,宝马525Li,228000.0,2280.84,100.04,30,12.17
SWVU109,M13158,凯迪拉克SRX,132000.0,1289.86,97.72,28,12.74
SCVI106,M13373,本田思域,112000.0,953.53,85.14,22,14.12
NCVA112,M13492,奥迪A8L,412000.0,2700.0,65.53,18,13.29
SWVU113,M13512,日产天籁,96000.0,637.96,66.45,17,14.27
SWVU109,M13560,MINI,126000.0,800.0,63.49,16,14.48
NCVA106,M13587,奥迪A8L,300000.0,1800.0,60.0,15,14.6
SWVM123,M13699,陆风X7,77000.0,522.0,67.79,11,22.49
CCVG107,M13733,日产轩逸,40000.0,254.0,63.5,10,23.18
NCVG105,M13764,奥迪A6L,240000.0,1080.0,45.0,9,18.25
SWVU110,M13804,福特新蒙迪欧,116000.0,544.12,46.91,8,21.4
SCVA113,M11622,宝马328Li,168000.0,3714.41,221.1,87,9.28
NCVA107,M11643,奔驰唯雅诺,307000.0,7106.59,231.49,85,9.94
NCVA107,M11647,奔驰AMGA45,300000.0,6700.0,223.33,85,9.59
SCVA103,M12607,丰田凯美瑞,110000.0,1747.95,158.9,55,10.55
SWVG101,M12977,奥迪A4L,112000.0,1469.11,131.17,44,10.88
ECVD102,M12994,捷豹XF,161000.0,1667.78,103.59,34,11.12
SCVA115,M13505,丰田普拉多,320000.0,3430.21,107.19,17,23.02
SCVI106,M13614,日产轩逸,62000.0,434.0,70.0,13,19.65
ECVS104,M13661,奔驰C180L,240000.0,1248.0,52.0,12,15.82
NWVB109,M13712,大众朗逸,50000.0,386.64,77.33,9,31.36
SCVA107,M13720,丰田锐志,101000.0,474.02,46.93,9,19.03
SWVU107,M13842,别克英朗,60000.0,277.53,46.25,7,24.12
NCVG105,M13846,丰田汉兰达,112000.0,403.2,36.0,6,21.9
SCVA101,M13986,丰田凯美瑞,76000.0,134.82,17.74,2,32.37
SWVB116,M11512,现代ix35,57000.0,1112.0,195.09,89,8.0
SCVB117,M11558,丰田威飒,160000.0,3086.0,192.88,88,8.0
